unique_identifier,source_unique_identifier,open_mic,venue_name,location,neighborhood,city,day,day_of_week,frequency,frequency_custom_text,schedule_occurrence,start_time,start_time_24h,latest_end_time,cost,stage_time,signup_method,signup_url,signup_enabled,sign_up_instructions,hosts_organizers,instagram_handle,status,active,other_rules,changes_updates,source_file,source_row_number,import_batch,city_slug,venue_slug,mic_slug
before-kt-open-mic-219-east-6th-monday-6-00-pm,before-kt-open-mic-219-east-6th-monday-6-00-pm,Before KT Open Mic,219 East 6th,219 East 6th St,Downtown Austin,Austin,Monday,1,weekly,,weekly,6:00 PM,18:00:00,,Free,,in_person,,false,Sign-up at 5:30 PM in person,,,pending,true,Variety mic — comedy and other formats welcome.,Listed before Kill Tony at Comedy Mothership.,austin_mics.csv,2,austin-mics-2026-08-20,austin,219-east-6th,before-kt-open-mic
kill-tony-comedy-mothership-monday-5-00-pm,kill-tony-comedy-mothership-monday-5-00-pm,Kill Tony,Comedy Mothership,320 E. 6th Street,Downtown Austin,Austin,Monday,1,weekly,,weekly,5:00 PM,17:00:00,,Free,,in_person,,false,Sign-up list at door 5–7 PM. Must have valid government-issued ID.,,@comedymothership,verified,true,Must have valid ID. Long-form show — not all sign-ups perform.,High-demand mic hosted by Tony Hinchcliffe.,austin_mics.csv,3,austin-mics-2026-08-20,austin,comedy-mothership,kill-tony
comedy-mothership-open-mic-comedy-mothership-monday-6-15-pm,comedy-mothership-open-mic-comedy-mothership-monday-6-15-pm,Comedy Mothership Open Mic,Comedy Mothership,320 E. 6th Street,Downtown Austin,Austin,Monday,1,weekly,,weekly,6:15 PM,18:15:00,,Free,3 min,in_person,,false,From 5:30–6 PM list goes up at front door. At 6:15/6:30 16 randomly chosen names posted. YOU MUST CHECK IN BY 6:30.,,@comedymothership,verified,true,16 random spots. Must check in by 6:30 PM.,Part of Comedy Mothership show block.,austin_mics.csv,4,austin-mics-2026-08-20,austin,comedy-mothership,comedy-mothership-open-mic
the-monday-gamble-mic-creek-and-cave-monday-6-00-pm,the-monday-gamble-mic-creek-and-cave-monday-6-00-pm,The Monday Gamble Mic,Creek and Cave,611 E 7th Street,East Austin,Austin,Monday,1,weekly,,weekly,6:00 PM,18:00:00,,Free,,in_person,,false,Sign-up in person by 5:45 PM. Capped at 20.,@matthewamoscomedy,@creekandcave,verified,true,You roll a dice to determine your set length. Cap 20.,,austin_mics.csv,5,austin-mics-2026-08-20,austin,creek-and-cave,the-monday-gamble-mic
walter-s-tavern-open-mic-walter-s-tavern-monday-6-30-pm,walter-s-tavern-open-mic-walter-s-tavern-monday-6-30-pm,Walter's Tavern Open Mic,Walter's Tavern,2336 S Congress Ave,South Austin,Austin,Monday,1,weekly,,weekly,6:30 PM,18:30:00,,Free,,in_person,,false,Walk-in from 6:30 PM,,@walterstavernatx,pending,true,All art forms welcome. Previously Freddo's.,Venue address updated from old location.,austin_mics.csv,6,austin-mics-2026-08-20,austin,walter-s-tavern,walter-s-tavern-open-mic
comedy-workshop-abe-s-smokeshop-monday-7-30-pm,comedy-workshop-abe-s-smokeshop-monday-7-30-pm,Comedy Workshop,Abe's Smokeshop,4709 Airport Blvd,North Austin,Austin,Monday,1,weekly,,weekly,7:30 PM,19:30:00,,Free,,in_person,,false,Sign-up in person. Cap at 15.,@mat_the_w444,@abessmokeshop,pending,true,Cap 15. Comedy focused workshop mic.,,austin_mics.csv,7,austin-mics-2026-08-20,austin,abe-s-smokeshop,comedy-workshop
slaughterhouse-mic-little-woodrow-s-southpark-monday-8-00-pm,slaughterhouse-mic-little-woodrow-s-southpark-monday-8-00-pm,Slaughterhouse Mic,Little Woodrow's Southpark,9500 I-35 Southpark Meadows,South Austin,Austin,Monday,1,weekly,,weekly,8:00 PM,20:00:00,,Free,,in_person,,false,Sign-up in person by 7:30 PM.,@jimmysmoltich,,pending,true,Free pizza for performers.,,austin_mics.csv,8,austin-mics-2026-08-20,austin,little-woodrow-s-southpark,slaughterhouse-mic
cackle-shack-lustre-pearl-east-monday-8-30-pm,cackle-shack-lustre-pearl-east-monday-8-30-pm,Cackle Shack,Lustre Pearl East,114 Linden St,East Austin,Austin,Monday,1,weekly,,weekly,8:30 PM,20:30:00,,Free,,online,,false,Email cackleshackmic@gmail.com to sign up.,"@brandidaviscomedy, @angelinajmartin",@lustre_pearl_east,pending,true,,,austin_mics.csv,9,austin-mics-2026-08-20,austin,lustre-pearl-east,cackle-shack
merlin-mic-creative-action-monday-8-30-pm,merlin-mic-creative-action-monday-8-30-pm,Merlin Mic,Creative Action,1023 Springdale Road Bldg 1,East Austin,Austin,Monday,1,weekly,,weekly,8:30 PM,20:30:00,,Free,3 min,online,,false,Sign-up online (link in highlights). Check in/SU at 8:20.,,,pending,false,3 min sets. Hard stop at 10. On hiatus as of 4/28.,Currently on hiatus.,austin_mics.csv,10,austin-mics-2026-08-20,austin,creative-action,merlin-mic
gonga-line-east-austin-comedy-monday-9-00-pm,gonga-line-east-austin-comedy-monday-9-00-pm,GONGA Line,East Austin Comedy,2505 E 6th Street,East Austin,Austin,Monday,1,weekly,,weekly,9:00 PM,21:00:00,,Free,2-6 min,in_person,,false,Sign-up in person by 8:45 PM.,@aaronscomedy,@eastaustincomedy,verified,true,Gong mic — 2 to 6 min sets based on how you do.,,austin_mics.csv,11,austin-mics-2026-08-20,austin,east-austin-comedy,gonga-line
