open_mic,day,start_time,venue_name,location,neighborhood,city,cost,stage_time,sign_up_instructions,hosts_organizers,signup_method,status,frequency,active,other_rules,changes_updates,instagram_handle
Before KT Open Mic,Monday,6:00 PM,219 East 6th,219 East 6th St,Downtown Austin,Austin,Free,,Sign-up at 5:30 PM in person,,in_person,pending,weekly,true,Variety mic — comedy and other formats welcome.,Listed before Kill Tony at Comedy Mothership.,
Kill Tony,Monday,5:00 PM,Comedy Mothership,320 E. 6th Street,Downtown Austin,Austin,Free,,Sign-up list at door 5–7 PM. Must have valid government-issued ID.,,in_person,verified,weekly,true,Must have valid ID. Long-form show — not all sign-ups perform.,High-demand mic hosted by Tony Hinchcliffe.,@comedymothership
Comedy Mothership Open Mic,Monday,6:15 PM,Comedy Mothership,320 E. 6th Street,Downtown Austin,Austin,Free,3 min,"From 5:30–6 PM list goes up at front door. At 6:15/6:30 16 randomly chosen names posted. YOU MUST CHECK IN BY 6:30.",,in_person,verified,weekly,true,16 random spots. Must check in by 6:30 PM.,Part of Comedy Mothership show block.,@comedymothership
The Monday Gamble Mic,Monday,6:00 PM,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,,Sign-up in person by 5:45 PM. Capped at 20.,@matthewamoscomedy,in_person,verified,weekly,true,You roll a dice to determine your set length. Cap 20.,,@creekandcave
Walter's Tavern Open Mic,Monday,6:30 PM,Walter's Tavern,2336 S Congress Ave,South Austin,Austin,Free,,Walk-in from 6:30 PM,,in_person,pending,weekly,true,All art forms welcome. Previously Freddo's.,Venue address updated from old location.,@walterstavernatx
Comedy Workshop,Monday,7:30 PM,Abe's Smokeshop,4709 Airport Blvd,North Austin,Austin,Free,,Sign-up in person. Cap at 15.,@mat_the_w444,in_person,pending,weekly,true,Cap 15. Comedy focused workshop mic.,,@abessmokeshop
Slaughterhouse Mic,Monday,8:00 PM,Little Woodrow's Southpark,9500 I-35 Southpark Meadows,South Austin,Austin,Free,,Sign-up in person by 7:30 PM.,@jimmysmoltich,in_person,pending,weekly,true,Free pizza for performers.,,,@littlewoodrowssouthpark
Cackle Shack,Monday,8:30 PM,Lustre Pearl East,114 Linden St,East Austin,Austin,Free,,Email cackleshackmic@gmail.com to sign up.,"@brandidaviscomedy, @angelinajmartin",online,pending,weekly,true,,,@lustre_pearl_east
Merlin Mic,Monday,8:30 PM,Creative Action,1023 Springdale Road Bldg 1,East Austin,Austin,Free,3 min,Sign-up online (link in highlights). Check in/SU at 8:20.,,online,pending,weekly,false,3 min sets. Hard stop at 10. On hiatus as of 4/28.,Currently on hiatus.,
GONGA Line,Monday,9:00 PM,East Austin Comedy,2505 E 6th Street,East Austin,Austin,Free,2-6 min,Sign-up in person by 8:45 PM.,@aaronscomedy,in_person,verified,weekly,true,Gong mic — 2 to 6 min sets based on how you do.,,@eastaustincomedy
Shakespeare's Mic,Monday,11:00 PM,Shakespeare's,314 E. 6th Street,Downtown Austin,Austin,Free,,Sign-up in person by 9 PM. DO NOT approach host with mic queries during any showcase.,"@laurenn.allennn",in_person,pending,weekly,true,Late night mic. If a showcase is running do not interrupt host.,,
Gimmick Mic,Monday,12:00 AM,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,2 min,Sign-up in person by 11:30 PM.,@yoelfat,in_person,verified,weekly,true,2 min sets; 3 min if you perform a gimmick.,,@creekandcave
Java and Jokes,Tuesday,4:00 PM,Sunset Strip ATX,214 E 6th Street,Downtown Austin,Austin,Free,,Sign-up in person by 3:30 PM.,,in_person,pending,weekly,true,,,@sunsetstripatx
Dunk Tank,Tuesday,6:00 PM,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,3 min,Sign-up in person by 5:30 PM. 12 bucket pull spots.,@danelyon_,in_person,verified,weekly,true,12 bucket pull spots. 3 min sets.,,@creekandcave
Lake Mic,Tuesday,7:00 PM,Lake Mic ATX,1311 South 1st Street,South Austin,Austin,Free,,Sign-up at 6:30 PM.,@sethchvz,in_person,verified,weekly,true,,,@lakemicatx
Outlaw Comedy Mic,Tuesday,7:00 PM,Bouldin Acres (Menchaca),10400 Menchaca Rd,South Austin,Austin,Free,,Sign-up in person by 6:30 PM.,,in_person,pending,weekly,true,Third Bouldin Acres location — NOT the original on South Lamar.,Address is 10400 Menchaca Rd — third BA location.,@bouldinacres
Cherrywood Mic,Tuesday,7:00 PM,Cherrywood Coffeehouse,1400 E 38th 1/2 St,North Austin,Austin,Free,,Walk-in from 7 PM.,@brandon.laca,in_person,pending,weekly,true,,,
Jokes & Dragons,Tuesday,8:00 PM,Mage's Sanctum,3924 Woodbury Drive,North Austin,Austin,Free,5 min,Sign-up in person by 7:30 PM.,,in_person,pending,weekly,true,5 min sets.,,@magessanctum
Cap City Comedy Open Mic,Tuesday,,,Cap City Comedy Club,11506 Century Oaks Terrace,North Austin,Austin,Free,,Online sign-up at capcitycomedy.com/pages/open-mic-night.,,online,pending,weekly,true,Online signup required. Check site for current schedule. Off until 4/21 then returning.,Resuming 4/21. Online and in-person spots.,@capcitycomedy
Merit Based Open Mic,Tuesday,7:00 PM,Double Trouble,103 E North Loop,North Austin,Austin,Free,,Sign-up via Google doc (link at @deicomedy or their highlights).,@deicomedy,online,pending,2nd_of_month,true,Runs on 2nd Tuesdays only.,,
The Challenge Mic,Tuesday,8:00 PM,Shooter's ATX,11416 N FM 620,North Austin,Austin,Free,4 min,Sign-up in person by 7:45 PM.,"@malcolmshatterhand, @nicktibbitscomedy",in_person,pending,weekly,true,4 min sets.,,@shootersatx
Anderson Mill Mic,Tuesday,10:00 PM,Anderson Mill,10401 Anderson Mill Road,North Austin,Austin,Free,,Sign-up in person at 9:30 PM. FCFS. No cap.,"@don__armon, @a_knight_of_comedy",in_person,pending,weekly,true,FCFS. No cap.,,
Hood Therapy,Tuesday,12:00 AM,Creek and Cave,611 West 7th Street,East Austin,Austin,Free,,Sign-up in person by 11:30 PM.,@xaviercardonaofficial,in_person,pending,weekly,true,,,@creekandcave
The Laughing Dead,Tuesday,7:30 PM,Wake the Dead Coffeehouse,1432 Old Ranch Rd 12,San Marcos,San Marcos,Free,,Sign-up in person by 7 PM.,@eisme247,in_person,pending,weekly,true,,,@wakethedeadcoffeehouse
Off The Cuff Improv/Riff Mic,Wednesday,6:00 PM,Creek and Cave,611 E 7th Street,East Austin,Austin,Free,,Sign-up in person by 5:30 PM.,,in_person,pending,weekly,true,Improv and riff format mic.,,@creekandcave
Delilah's Front Porch Open Mic,Wednesday,6:00 PM,Delilah's Front Porch,830 Airport Blvd,North Austin,Austin,Free,,Sign-up in person by 5:30 PM. BYOB.,@erikgampick,in_person,pending,weekly,true,Variety mic. Comedy/Poetry = 4 min. Music = 2 songs. BYOB.,,@delilahsfrontporch
Tag Writing Mic 2,Wednesday,6:30 PM,Lucky Duck ATX,1300 East 6th Street,East Austin,Austin,Free,,Bucket sign-up.,,in_person,pending,weekly,true,Tag writing format mic at Lucky Duck.,,@theluckyduckatx
